crop,variety,supplier,order_date,stock_quantity,season,water,sow,method,transplant_after,mature_after,rows/pattern,count_ft,count_sq_ft,lo_yield,hi_yield,harvest_info,packet_type,notes,url,web_botanical_name,web_soil_temp,web_planting_depth,sdsc_days_to_germ,web_days_to_maturity,sdsc_succession,web_best_planting_method,web_thin_to,web_final_spacing,sdsc_area_to_sow,web_seeds_per_packet,sdsc_product_weight,sdsc_plant_height,sdsc_plant_spread,js_growing_notes,scrape_status,scrape_date
Broccoli,Waltham 29,SDSC,,,cool,medium-high,Aug–Feb,transplant,35.0,70,2,0.67,,1.0,1.0,,single,organic,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-waltham-29-broccoli-seeds/,Brassica oleracea,55° F+,"1/4""",3-10+,75+,21 days,Transplant,"≥2"" apart","≥24"" apart",60' row,65,NOT_FOUND,"30""","24""",N/A,success,2025-12-24T11:20:08.605770
Broccoli,Steve's Tender Early Green,SDSC,,,cool,medium-high,Aug–Feb,transplant,35.0,70,2,0.67,,1.0,1.0,,single,organic,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-steves-tender-early-green-broccoli-seeds/,Brassica oleracea,55° F+,"1/4""",3-10+,60+,21 days,Transplant,"≥2"" apart","≥24"" apart",60' row,60,NOT_FOUND,"30""","12""",N/A,success,2025-12-24T11:20:08.790032
Broccoli,Sprouting Di Cocco,SDSC,,,cool,medium-high,Aug–Feb,transplant,35.0,70,2,0.67,,1.0,1.0,,single,organic,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-sprouting-di-cocco-broccoli-seeds/,Brassica oleracea,55° F+,"1/4""",3-10+,55+,21 days,Transplant,"≥3"" apart","≥24"" apart",60' row,60,.25G,"30""","12""",N/A,success,2025-12-24T11:20:08.789655
Broccoli,Belstar F1,JS,,,cool,medium-high,Aug–Feb,transplant,35.0,70,2,0.67,,1.0,1.0,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/broccoli/standard-broccoli/belstar-organic-f1-broccoli-seed-2815G.html,Brassica oleracea,75–80°F (24–27°C),"½""",N/A,65 days,N/A,Either,one plant in each group,"10–18"" apart (rows 18–36"" apart)",N/A,100,N/A,N/A,N/A,"Belstar has proven to be widely adapted, and has performed particularly well in Florida in the winter. Heads are medium green and well-domed with a medium-size bead. Strong, stress-tolerant plants with good side-shoot production. For summer and fall harvest. USDA Certified Organic. Specs: Packet: 100 seeds Avg. 142,100 seeds/lb",success,2025-12-24T11:20:46.614598
Broccoli,Happy Rich F1,JS,,,cool,medium-high,Aug–Feb,transplant,35.0,70,2,0.67,,1.0,1.0,,single,mini broccoli,https://www.johnnyseeds.com/vegetables/broccoli/mini-broccoli/happy-rich-f1-broccoli-seed-2629.html,Brassica oleracea,75–85°F (24–29°C),"¼"" deep",N/A,27 days,N/A,either,thinning to same plant density noted in transplanting recommendations.,"Space rows 18–36"" apart, and transplant 4–6"" apart within rows for ‘Melody', 12–18"" apart for ‘Burgundy' and 'Sidekick', 12–24"" apart for 'Bonarda', and 6–12"" apart for all other varieties.",N/A,100,N/A,N/A,N/A,"Uniform, vigorous, dark green plants produce jumbo-size florets that resemble mini heads of broccoli, and have an excellent sweet broccoli flavor. This sprouting broccoli produces ample amounts of side shoots when plants are spaced 12–18"" apart. For a single crop harvest, space plants 6–8"" apart. Pinching not necessary. CULTURE: Prefers a well-drained, fertile soil high in organic matter with a pH of 6.0–7.5. Prefers a consistent supply of moisture throughout the growing season. Irrigate regularly for best results. TRANSPLANTING: Sow 2 seeds per cell in 72-cell plug flats, 3–4 seeds/in. in 20-row flats, or in outdoor beds ¼"" deep. Seedlings should be ready to transplant in 3–4 weeks. If possible, keep soil temperature 75–85°F (24–29°C) until germination, then reduce air temperature to about 60°F (16°C). Ensure good air circulation and light. DIRECT SEEDING: Sow 2–3 seeds/ft., ½"" deep, rows 18–36"" apart, thinning to same plant density noted in transplanting recommendations. INSECT PESTS AND DISEASE: Prevent flea beetle damage by applying floating row cover at planting. Flea beetles can also be controlled with insecticides such as azadirachtin or pyrethrin. Cabbage worms can be controlled with Bacillus thuringiensis. Prevent disease with crop rotation and good sanitation. CROP MAINTENANCE: For some varieties, side-shoot production can be increased by pinching the initial head as soon as it forms. HARVEST: Before flower buds open, cut stems of central head and side shoots. Stems 4–8"" in length can be bunched for sale or sold loose. Harvest side shoots every 2–3 days in warm weather and every 5–7 days in cool weather to encourage continued production.",success,2025-12-24T11:20:49.788686
Napa Cabbage,Mini Napa Chinese Cabbage,SDSC,,,cool,medium-high,Aug–Feb,transplant,35.0,85,2,0.56,,2.0,4.0,,single,,https://sandiegoseedcompany.com/product/vegetables/cabbages/mini-napa-chinese-cabbage-seeds/,Brassica rapa,55° F+,1/4”,3–10+,50+,10 days,Direct or transplant,"≥2"" apart","≥12"" apart",20' row,40,.25G,"8–10""","4-6""",N/A,success,2025-12-24T11:20:14.277478
Cabbage,Red Acre,SDSC,,,cool,medium-high,Aug–Feb,transplant,35.0,85,2,0.56,,2.0,4.0,,single,organic,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-red-acre-cabbage-seeds/,Daucus carota var. sativus,55° F+,"1/4""",3-10+,75+,21 days,Transplant,"≥2"" apart","≥24"" apart",60' row,53,NOT_FOUND,"4-8""","2-4""",N/A,success,2025-12-24T11:20:13.791489
Pak Choi,White Stem Pak Choi,SDSC,,,cool,medium-high,Aug–Feb,transplant,35.0,85,5-star,0.56,,2.0,4.0,,single,organic,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-white-stem-pak-choi-seeds/,Brassica rapa,50° F+,"1/4""",3-10+,45+,10 days,Direct or transplant,"≥4"" apart","≥8"" apart",300',65,0.15G,"12-18""","24-48""",N/A,success,2025-12-24T11:20:09.942655
Cabbage,Bronco F1,JS,,,cool,medium-high,Aug–Feb,transplant,35.0,85,2,0.56,,2.0,4.0,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/cabbage/fresh-market-cabbage/bronco-organic-f1-cabbage-seed-5195G.html,Brassica oleracea var. capitata,75°F (24°C),"1/2""",N/A,80 days,N/A,Either,"12"" apart","12-18""",N/A,50,N/A,N/A,N/A,"Bronco has become a standard due to its wide adaptability and reliability. Heads average 3–5 lb. and have a short core and very good eating quality. Upright plant allows for optimal air circulation and less disease pressure. USDA Certified Organic. Disease Resistance: Fusarium Yellows (High) Specs: Packet: 50 seeds Avg. 75,900 seeds/lb",success,2025-12-24T11:20:31.450108
Chinese Cabbage,Bilko F1 Chinese Cabbage,JS,,,cool,medium-high,Aug–Feb,transplant,35.0,85,2,0.56,,2.0,4.0,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/chinese-cabbage/bilko-organic-f1-chinese-cabbage-seed-2814G.html,Brassica rapa var. pekinensis,75°F (24°C),"1/4""",N/A,57 days,N/A,either,"12–18""","18-30""",N/A,100,N/A,N/A,N/A,"Compared to Haku, Bilko is slightly bigger at 12"", darker green, and a couple of days later. Wide adaptability. Slow-bolting heads have a good, mild, sweet flavor. USDA Certified Organic. Disease Resistance: Club Root (High) Fusarium Yellows (High). Specs: Packet: 100 seeds; Avg. 135,400 seeds/lb",success,2025-12-24T11:20:40.334680
Cauliflower,Snowball,SDSC,,,cool,high,Aug–Dec,transplant,35.0,80,2,0.56,,1.0,2.0,,single,organic,https://sandiegoseedcompany.com/product/vegetables/cauliflower/organic-snowball-cauliflower-seeds/,Brassica oleracea var. botrytis,55° F+,"1/4""",5-15+,60+,21 days,Transplant,"≥2"" apart","≥24"" apart",80' row,90,NOT_FOUND,"24""","12""",N/A,success,2025-12-24T11:20:14.135727
Cauliflower,Violet Queen,SDSC,,,cool,high,Aug–Dec,transplant,35.0,80,2,0.56,,1.0,2.0,,single,,https://sandiegoseedcompany.com/product/vegetables/cauliflower/violet-queen-cauliflower-seeds/,Brassica oleracea var. botrytis,55° F+,"1/4""",5-15+,75+,21 days,Transplant,"≥2"" apart","≥24"" apart",75' row,50,NOT_FOUND,"24""","12""",N/A,success,2025-12-24T11:20:13.416376
Kale,Black Magic,SDSC,,,cool,medium,Aug–Mar,transplant,30.0,60,5-star,1.0,,1.0,5.0,,single,*shopper requested*,https://sandiegoseedcompany.com/product/vegetables/kale/black-magic-kale-seeds/,Brassica oleracea,55° F+,1/2”,3-10+,65+,NA,Direct or transplant,"≥2"" apart","≥12"" apart",30' row,45,NOT_FOUND,"24""","24""",N/A,success,2025-12-24T11:20:09.770949
Beets,Golden Beet,SDSC,,,cool,medium,Sep–Feb,direct_sow,,60,5-star,3.0,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/beets/organic-golden-beet-seeds/,Beta vulgaris,50° F+,"1/2""",5-15+,55+,14 days,Direct,"≥3"" apart","≥5"" apart",30' row,100,NOT_FOUND,"14-16""","4-12""",N/A,success,2025-12-24T11:20:13.722778
Beets,Boro,SDSC,,,cool,medium,Sep–Feb,direct_sow,,60,5-star,3.0,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/beets/organic-boro-beet-seeds/,Beta vulgaris,50° F+,"1/2""",5-15+,50+,14 days,Direct,"≥2"" apart","≥5"" apart",20’ row,75,NOT_FOUND,"8-10""","4-12""",N/A,success,2025-12-24T11:20:13.999098
Beets,Detroit Dark Red,SDSC,,,cool,medium,Sep–Feb,direct_sow,,60,5-star,3.0,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/beets/organic-detroit-dark-red-beet-seeds/,Beta vulgaris,50° F+,"1/2""",5-15+,60+,14 days,Direct,"≥2"" apart","≥5"" apart",20' row,250,NOT_FOUND,"8-10""","4-12""",N/A,success,2025-12-24T11:20:14.323028
Beets,Bulls Blood,SDSC,,,cool,medium,Sep–Feb,direct_sow,,60,5-star,3.0,,0.25,0.25,,single,,https://sandiegoseedcompany.com/product/vegetables/beets/bulls-blood-beet-seeds/,Beta vulgaris,50° F+,"1/2""",5-15+,60+,14 days,Direct,"≥3"" apart","≥5"" apart",30' row,100,NOT_FOUND,"8-10""","4-12""",N/A,success,2025-12-24T11:20:09.644831
Beets,Boldor,JS,,,cool,medium,Sep–Feb,direct_sow,,60,5-star,3.0,,0.25,0.25,,single,"organic, golden - *shopper requested*",https://www.johnnyseeds.com/vegetables/beets/specialty-beets/boldor-organic-beet-seed-3121G.html,Beta vulgaris,45°F (7°C),"1/2""",N/A,55 days,N/A,either,"3"" apart","3"" apart, rows 12-18""",N/A,350,N/A,N/A,N/A,"Compared to Touchstone Gold, germination and seedling vigor are a bit better, and interior color is a shade lighter. Otherwise, it is very similar, with strong tops and great flavor. Also keeps its color when cooked. Also available with NOP-compliant pelleting. USDA Certified Organic. Culture: First-rate crops grow quickly in light or loamy soils with a pH over 6.0; cool temperatures produce the best flesh color. Disease: Keep beets well-irrigated to prevent scab, which causes raised brown rough spots on mature roots. Internal breakdown or browning is most likely to occur in alkaline soils after prolonged hot, dry periods and is caused by a boron deficiency. Rotate crops to prevent Cercospora leaf spot.",success,2025-12-24T11:20:40.581641
Beets,Boro F1,JS,,,cool,medium,Sep–Feb,direct_sow,,60,5-star,3.0,,0.25,0.25,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/beets/round-red-beets/boro-organic-f1-beet-seed-3300G.html,Beta vulgaris,45°F (7°C),"1/2""",N/A,50 days,N/A,Direct sow,"1 plant per 3""","3"" x 12–18""",N/A,350,N/A,N/A,N/A,"Widely adapted and reliable. Smooth, rich red skin and excellent flavor. Attractive, fine taproot. Big healthy tops. Stores well through the winter in proper conditions. Also available with NOP-compliant pelleting. USDA Certified Organic. Specs: Packet: 350 seeds Avg. 51,300 seeds/lb",success,2025-12-24T11:20:41.390362
Carrots,Juwarot,SDSC,,,cool,medium,Sep–Feb,direct_sow,,75,4,6.0,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-juwarot-carrot-seeds/,Daucus carota var. sativus,50° F+,"1/16""",10-21+,70+,21 days,Direct,Final spacing,"≥2"" apart",28' row,600,NOT_FOUND,"4-8""","2-4""",N/A,success,2025-12-24T11:20:13.482329
Carrots,Miami Pelleted,SDSC,,,cool,medium,Sep–Feb,direct_sow,,75,4,6.0,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-miami-pelleted-carrot-seeds/,NOT_FOUND,50° F+,"1/4-1/2""",10-21+,75+,21 days,Direct,Final spacing,"≥4"" apart",25' row,60,2G,NOT_FOUND,"2-4""",N/A,success,2025-12-24T11:20:57.567569
Carrots,Nantes Coreless,SDSC,,,cool,medium,Sep–Feb,direct_sow,,75,4,6.0,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-nantes-coreless-carrot-seeds/,Daucus carota var. sativus,50° F+,"1/16""",10-21+,75+,21 days,Direct,Final spacing,"≥2"" apart",28' row,600,NOT_FOUND,"4-8""","2-4""",N/A,success,2025-12-24T11:20:56.795278
Carrots,Danvers,SDSC,,,cool,medium,Sep–Feb,direct_sow,,75,4,6.0,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-danvers-carrot-seeds/,Daucus carota var. sativus,50° F+,"1/16""",10-21+,60+,21 days,Direct,Final spacing,"≥2"" apart",28' row,600,NOT_FOUND,"4-8""","2-4""",N/A,success,2025-12-24T11:20:57.313646
Carrots,Bengala F1,JS,,,cool,medium,Sep–Feb,direct_sow,,75,4,6.0,,0.25,0.25,,single,*shopper requested* - currently out of stock,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bengala-organic-f1-carrot-seed-5176G.html,Daucus carota var. sativus,N/A,"1/4– 1/2""",N/A,85 days,N/A,Direct sow,"3/4–2"" apart","16–24"" apart",N/A,750,N/A,N/A,N/A,"Adaptable and flavorful variety with great dormancy in storage. Firm, crunchy, and balanced sweet, carroty flavor. At 7–9"", slightly longer and broader than Bolero allowing for higher yield potential. Slower to tip fill than Bolero. At full maturity, roots are straight and smooth. Aggressive tall tops can compete with weeds and combat foliar diseases such as Alternaria dauci . USDA Certified Organic. Specs: Packet: 750 seeds Avg. 350,000 seeds/lb",success,2025-12-24T11:21:19.275771
Carrots,Bolero F1,JS,,,cool,medium,Sep–Feb,direct_sow,,75,4,6.0,,0.25,0.25,,single,*replacement for Bengala*,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bolero-f1-carrot-seed-216.html,Daucus carota var. sativus,N/A,"1/4– 1/2""",N/A,75 days,N/A,Direct sow,"3/4–2"" apart","16–24""",N/A,750,N/A,N/A,N/A,"Medium-long 7–8"" roots are uniform, thick, slightly tapered, and blunt. Excellent eating quality both fresh and after long-term storage, with juicy texture and sweet, complex flavor. A great choice for fall and winter harvest. Tops are vigorous, fast, and healthy which makes for better field-holding ability and easier mechanical harvesting. Heavy Nantes type. Also available with NOP-compliant pelleting. Disease Resistance: Alternaria Blight (High) Bacterial Blight (Intermediate) Cavity Spot (Intermediate) Cercospora Blight (Intermediate) Powdery Mildew (High) Specs: Packet: 750 seeds Avg. 250,400 seeds/lb",success,2025-12-24T11:21:16.815051
Radishes,French Breakfast,SDSC,,,cool,low-medium,Sep–Mar,direct_sow,,28,4,6.0,,0.25,0.25,,single,,https://sandiegoseedcompany.com/product/vegetables/radishes/french-breakfast-radish-seeds/,Raphanus sativus,45° F+,"1/4""",3-10+,30+,7 days,Direct,"≥2"" apart","≥4"" apart",50' row,200,NOT_FOUND,"4-12""","3""",N/A,success,2025-12-24T11:20:56.897230
Radishes (Mixed),Confetti Mix,SDSC,,,cool,low-medium,Sep–Mar,direct_sow,,28,4,6.0,,0.25,0.25,,mixed,,https://sandiegoseedcompany.com/product/vegetables/radishes/confetti-mix-radish-seeds/,Raphanus sativus,45° F+,"1/4""",3-10+,30+,7 days,Direct,"≥2"" apart","≥4"" apart",30' row,200,NOT_FOUND,"4-6""","3""",N/A,success,2025-12-24T11:20:56.644825
Arugula,Wild Arugula,SDSC,,,cool,medium,Sep–Mar,direct_sow,,30,scattered,,25.0,0.001,0.0015,,single,,https://sandiegoseedcompany.com/product/herbs/wild-arugula-seeds/,Eruca sativa,45° F+,"1/16""",3-10+,35+,14 days,Direct or transplant,"≥2"" apart","≥5"" apart",15' row,350,.25G,"10-12""","4""",N/A,success,2025-12-24T11:20:52.268505
Lettuce (Single),Parris Island Cos Romaine,SDSC,,,cool,medium-high,Sep–Mar,transplant,28.0,55,5-star,1.0,,1.0,1.0,,single,,https://sandiegoseedcompany.com/product/vegetables/greens/parris-island-cos-romaine-lettuce-seeds/,Zea mays,50° F+,"1/8""",3-10+,55+,10 days,Direct or transplant,"≥2"" apart","≥5"" apart",25' row,60,NOT_FOUND,"96-120""","18-20""",N/A,success,2025-12-24T11:20:56.328614
Lettuce (Mixed),Zone 9-10 Mix,SDSC,,,cool,medium-high,Sep–Mar,direct_sow,,35,scattered,,20.0,0.0015,0.0025,,mixed,organic,https://sandiegoseedcompany.com/product/vegetables/lettuce/organic-zone-9-10-lettuce-mix/,Lactuca sativa,50° F+,"1/8""",3-10+,51+,10 days,Direct or transplant,"≥2"" apart","≥5"" apart",10' row,60,.25G,"10""","6-12""",N/A,success,2025-12-24T11:20:56.836376
Lettuce (Mixed),Allstar Gourmet Mix,JS,,,cool,medium-high,Sep–Mar,direct_sow,,35,scattered,,20.0,0.0015,0.0025,,mixed,,https://www.johnnyseeds.com/vegetables/lettuce/lettuce-mixes/allstar-gourmet-lettuce-mix-vegetable-seed-2301.html,Lactuca sativa,60-68°F (16-20°C),"1/8""",N/A,28 days,N/A,Either,"2"" apart","10–12"" apart in rows 15–18""",N/A,1000,N/A,N/A,N/A,"A specially designed blend based on two years of trial research to make your salad mix stand out from the crowd. Selected varieties yield darker reds and greens even under low-light conditions. Ruffled edges and unique leaf shapes provide loft, interesting texture, good shelf life, and fancy appearance. Includes green oakleaf, red oakleaf, green romaine, red romaine, lollo rossa, and red leaf lettuces. MT0-30. Varieties are subject to change depending upon availability. Specs: Packet: 1,000 seeds Avg. 26,440 seeds/oz",success,2025-12-24T11:21:29.912264
Spinach,Corvair,SDSC,,,cool,medium,Oct–Feb,transplant,28.0,45,4,3.0,,0.25,1.0,,single,organic,https://sandiegoseedcompany.com/product/vegetables/spinach/organic-corvair-spinach-seeds/,Spinacia oleracea,45° F+,"1/2""",3-10+,27+,7 days,Direct or transplant,"≥2"" apart","≥5"" apart",15' row,45,.5G,"6-8""","12""",N/A,success,2025-12-24T11:20:52.639994
